Month,Total,"Men, 20 years and over","Women, 20 years and over",16 to 19 years old,White,Black or African American,Asian,Hispanic or Latino
2015-08-01,5.1,4.7,4.6,16.9,4.4,9.4,3.4,6.6
2015-09-01,5,4.7,4.6,16.5,4.4,9.3,3.5,6.2
2015-10-01,5,4.7,4.6,15.9,4.4,9,3.5,6.3
2015-11-01,5.1,4.8,4.6,15.3,4.4,9.4,3.9,6.4
2015-12-01,5,4.6,4.5,16.2,4.4,8.5,4.1,6.2
2016-01-01,4.9,4.4,4.5,15.7,4.2,8.7,3.6,5.8
2016-02-01,4.9,4.5,4.5,15.2,4.3,8.5,3.8,5.4
2016-03-01,5,4.5,4.6,16,4.3,8.9,3.9,5.5
2016-04-01,5,4.6,4.6,16,4.4,8.8,3.8,6.1
2016-05-01,4.8,4.5,4.3,16,4.2,8.2,4.2,5.6
2016-06-01,4.9,4.5,4.4,16.1,4.3,8.8,3.5,5.9
2016-07-01,4.8,4.6,4.2,15.8,4.2,8.4,3.8,5.5
2016-08-01,4.9,4.5,4.4,15.9,4.3,8,4.1,5.6
2016-09-01,5,4.7,4.4,16.2,4.4,8.5,3.8,6.4
2016-10-01,4.9,4.6,4.4,15.8,4.4,8.4,3.4,5.8
2016-11-01,4.7,4.3,4.3,14.9,4.2,8.1,3.1,5.8
2016-12-01,4.7,4.4,4.3,14.5,4.2,7.9,2.7,5.9
2017-01-01,4.7,4.3,4.4,14.6,4.2,7.5,3.7,5.8
2017-02-01,4.6,4.3,4.2,14.4,4,7.9,3.4,5.5
2017-03-01,4.4,4.2,3.9,13.7,3.9,7.9,3.3,5
2017-04-01,4.4,3.9,4.1,14.7,3.9,7.9,3.3,5.1
2017-05-01,4.4,4,4.1,14.1,3.8,7.7,3.7,5.2
2017-06-01,4.3,4,4,13.4,3.8,7.1,3.6,4.9
2017-07-01,4.3,4,3.9,13.2,3.7,7.4,3.8,5.1
2017-08-01,4.4,4.1,4,13.9,3.8,7.7,3.9,5.2
2017-09-01,4.2,3.9,3.9,13.1,3.7,7.2,3.6,5.1
2017-10-01,4.1,3.8,3.7,14,3.5,7.4,3,4.9
2017-11-01,4.2,3.8,3.7,16.1,3.7,7.4,3,4.8
2017-12-01,4.1,3.7,3.7,13.7,3.7,6.7,2.5,5
2018-01-01,4.1,3.8,3.6,13.7,3.5,7.5,3,5
2018-02-01,4.1,3.7,3.8,14,3.7,6.7,2.9,4.9
2018-03-01,4,3.7,3.7,13.4,3.6,6.8,3.1,5
2018-04-01,4,3.7,3.5,12.8,3.6,6.4,2.8,4.8
2018-05-01,3.8,3.6,3.4,12.8,3.5,5.9,2.2,4.9
2018-06-01,4,3.7,3.6,12.6,3.5,6.5,3.2,4.5
2018-07-01,3.8,3.4,3.6,13,3.3,6.6,3.1,4.4
2018-08-01,3.8,3.5,3.5,12.8,3.4,6.3,3,4.7
2018-09-01,3.7,3.4,3.3,12.7,3.3,6.2,3.5,4.6
2018-10-01,3.8,3.5,3.4,12.2,3.3,6.3,3.1,4.4
2018-11-01,3.7,3.3,3.4,12.4,3.4,6.1,2.8,4.5
2018-12-01,3.9,3.6,3.5,12.6,3.4,6.6,3.3,4.4
2019-01-01,4,3.7,3.6,12.9,3.5,6.8,3.1,4.8
2019-02-01,3.8,3.5,3.4,13.3,3.3,6.9,3.1,4.3
2019-03-01,3.8,3.6,3.3,12.7,3.4,6.6,3.1,4.7
2019-04-01,3.6,3.4,3.1,12.9,3.1,6.6,2.2,4.2
2019-05-01,3.6,3.4,3.3,12.6,3.3,6.2,2.5,4.2
2019-06-01,3.7,3.3,3.3,12.7,3.3,6,2.1,4.3
2019-07-01,3.7,3.3,3.3,12.7,3.3,5.9,2.8,4.5
2019-08-01,3.7,3.3,3.3,12.5,3.4,5.4,2.8,4.2
2019-09-01,3.5,3.2,3.1,12.5,3.2,5.5,2.5,3.9
2019-10-01,3.6,3.2,3.2,12.3,3.2,5.5,2.8,4.1
2019-11-01,3.5,3.2,3.2,12,3.2,5.6,2.6,4.2
2019-12-01,3.5,3.1,3.2,12.6,3.2,5.9,2.5,4.2
2020-01-01,3.6,3.3,3.2,12.2,3.1,6,3,4.3
2020-02-01,3.5,3.3,3.1,11,3.1,5.8,2.5,4.4
2020-03-01,4.4,4,4,14.3,4,6.7,4.1,6
2020-04-01,14.7,13,15.5,31.9,14.2,16.7,14.5,18.9
2020-05-01,13.3,11.6,13.9,29.9,12.4,16.8,15,17.6
